id,roa,stake,luck,blocks,pledge
pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,3.148,69275795052394,0.989,52,563040436964
pool1ddg6t2h9kj6lqlec4ncjs945lzj43m3ggrgdhf5sgzhtygpkznz,3.112,67024026510654,0.984,49,106549231965
pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,3.011,60615350211133,0.99,41,111505830896
pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,3.043,64875942216356,0.98,46,396585288638
pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,3.114,65842401935598,0.985,46,389540414136
pool1ukeqarukv9gxwy9pt8jkr4qvad2yf87758g3xzemmvmtk8lrynp,2.8,58147235273954,0.987,53,105136917133
pool1wt0pf4u2xktp0f7apveu242w6nkm4ltk3m8g039lvuhwq4zdtf3,3.356,57887352822971,1.003,37,120041864324
pool1nz9h4raywm6mu2v8l7htuaqvmn06l3mepuaxynpzlwljsf8txhy,3.177,61551258106519,1.006,47,116037917865
pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,3.028,70309893439181,1.009,53,362167168584
pool166dkk9kx5y6ug9tnvh0dnvxhwt2yca3g5pd5jaqa8t39cgyqqlr,3.209,55226387839503,0.971,38,432266839680
pool193uec04jldvah7r52q86wl033g4v42x0aste8jfg9999qepaxfp,3.134,62675934661530,1.004,39,60502866809
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,3.085,70184666900238,0.963,50,192154524665
pool189lsf6c2upyhmrzddyvyfjxxkqnte9pw8aqx7f4cuf85sjxlm02,3.168,51457835854846,1.003,35,105203976676
pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,3.007,70394247391791,0.997,56,708088691917
pool1xs34q2z06a46nk7hl48d27dj5gzc6hh9trugw2ehs9ajsevqffx,3.208,59610399725603,0.97,41,31896012602
pool1a23gmvalpdams9d42t7fur8vmknzjv7wd3nsvuvrc7dv66lnau0,2.893,51107258746086,0.974,31,380508214768
pool1enul577he3e0s500lv8z98m6k936uecz2rpckxxmmk8c7k0n2rd,3.103,53139097861828,0.934,29,208094529829
pool1a8n7f97dmgtgrnl53exccknjdchqxrr9508hlxlgqp6xvjmzhej,2.898,58128648841189,0.962,37,90476883455
pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,2.768,47733414656488,0.988,33,181107843798
pool1ewrm7y47s9hv6hxku9n5gfnsuspymp0qqpwgvgm9rvm37cek2h6,2.77,43718240871996,0.994,35,112158890573
pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,2.933,70920923508818,0.977,50,206402048395
pool1dxwgzj66pual956mnv9delkelg873yvgr2dd8s279m0hxqvr475,3.07,33663406145889,1.001,29,1181115599127
pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,3.084,26547925491427,0.976,19,218510125829
pool1qqvukkkfr3ux4qylfkrky23f6trl2l6xjluv36z90ax7gfa8yxt,3.201,32816728598163,0.969,17,50039540087
pool1pfprlfz0ywcnewjegazz05ghgcfkvu40v6edsz6yn8w362sdjr8,2.935,33318234502118,0.978,18,91309825622
pool1l6aeyn35nkqkn9lqqlwqnpraakdzuukjrqprcrj3sctk6hhe32k,3.206,37094289645542,1.02,22,521506613106
pool17taqml487n9t4r9a6ppvf9qv0qlw2lu4zcrzwfdsfcv6xp7uqym,3.383,29358527923289,1.019,29,53045202197
pool1zmfpd5r5vfwjmwm4cgy53exe58h7plnecny3t4948yw7zumzp4c,3.005,19765678544772,0.976,11,75646425351
pool1qqq0c53vaf5ju0n3fvujmyxwca0yhp65930evw9lngmr5705csz,2.788,30958788178924,0.954,22,435596556928
pool1heks0vmxkfka2amg9c8yn8qdsxvgmzelfx6jhpfkj8ht5mn0r2m,3.487,25119149605800,1.004,16,25119843147
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,2.963,23835032685897,1.009,13,325050000000
pool1jk25l2pejpdzq8vdjlxrr05th49v9tgd78fqrtxvuw3rumpfc6t,2.915,49531396934126,0.97,36,6571027148
pool1zytydvyy3qztrs8l2xyggvkfcjctp23m2hc3aj7sudnzgny79cg,3.031,18320267862095,1.006,15,37575381637
